,0,1,2,3,4,5,6,7,8
0,0.054,0.115,0.18,0.0745,0.1255,0.142,0.2195,0.0765,0.013
1,0.0545,0.1175,0.1805,0.08,0.1485,0.1435,0.198,0.0615,0.016
2,0.043,0.1105,0.204,0.08,0.129,0.1335,0.2095,0.0755,0.015
3,0.0495,0.129,0.1835,0.0735,0.128,0.133,0.2215,0.069,0.013
4,0.051,0.1255,0.192,0.067,0.1355,0.1355,0.2205,0.058,0.015
5,0.051,0.125,0.1925,0.0745,0.137,0.1325,0.2065,0.0675,0.0135
6,0.058,0.122,0.195,0.07,0.128,0.12,0.2195,0.075,0.0125
7,0.0515,0.114,0.209,0.073,0.132,0.1285,0.208,0.0685,0.0155
8,0.0445,0.112,0.1905,0.0685,0.1305,0.145,0.2075,0.0835,0.018
9,0.0515,0.116,0.1875,0.067,0.1495,0.135,0.213,0.0645,0.016
10,0.0535,0.1295,0.1705,0.0755,0.133,0.1425,0.212,0.068,0.0155
11,0.0525,0.125,0.1975,0.07,0.143,0.1245,0.2065,0.061,0.02
12,0.0495,0.1195,0.192,0.0635,0.1345,0.1305,0.215,0.073,0.0225
13,0.054,0.1295,0.1765,0.0765,0.131,0.1335,0.2135,0.069,0.0165
14,0.0555,0.1265,0.18,0.0715,0.138,0.1285,0.212,0.0675,0.0205
15,0.052,0.121,0.1775,0.0705,0.1365,0.148,0.2045,0.0735,0.0165
16,0.0515,0.126,0.1885,0.07,0.1435,0.1375,0.201,0.0645,0.0175
17,0.0595,0.1165,0.181,0.082,0.1485,0.1365,0.197,0.0645,0.0145
18,0.0555,0.12,0.1965,0.0665,0.1275,0.1325,0.222,0.0635,0.016
19,0.051,0.125,0.181,0.0665,0.146,0.1305,0.212,0.073,0.015
20,0.0565,0.1185,0.1865,0.069,0.131,0.1285,0.2225,0.069,0.0185
21,0.0575,0.1245,0.1755,0.0755,0.132,0.1325,0.216,0.07,0.0165
22,0.0545,0.1345,0.202,0.062,0.1325,0.1265,0.2035,0.068,0.0165
23,0.0575,0.1185,0.1795,0.0685,0.1335,0.1375,0.2155,0.0715,0.018
24,0.052,0.14,0.1775,0.0675,0.134,0.134,0.2115,0.069,0.0145
25,0.0485,0.1235,0.169,0.0715,0.1425,0.1435,0.2095,0.067,0.025
26,0.042,0.121,0.197,0.074,0.134,0.1345,0.215,0.062,0.0205
27,0.051,0.118,0.183,0.0625,0.141,0.145,0.2165,0.0675,0.0155
28,0.0585,0.1285,0.1895,0.068,0.13,0.136,0.2165,0.0615,0.0115
29,0.0555,0.1425,0.181,0.066,0.1325,0.1425,0.2005,0.065,0.0145
30,0.045,0.1205,0.183,0.078,0.116,0.149,0.2275,0.0675,0.0135
31,0.0445,0.122,0.179,0.069,0.1275,0.143,0.219,0.079,0.017
32,0.0505,0.1185,0.194,0.0745,0.142,0.1345,0.2075,0.0615,0.017
33,0.053,0.1265,0.1915,0.0615,0.137,0.1345,0.2085,0.0725,0.015
34,0.052,0.1175,0.178,0.0745,0.135,0.1385,0.2155,0.0725,0.0165
35,0.053,0.1255,0.177,0.064,0.133,0.148,0.218,0.0655,0.016
36,0.0475,0.1195,0.1875,0.077,0.1315,0.129,0.226,0.0635,0.0185
37,0.053,0.1195,0.189,0.0775,0.137,0.136,0.212,0.0585,0.0175
38,0.0505,0.1145,0.1785,0.0645,0.1315,0.145,0.228,0.0705,0.017
39,0.0485,0.121,0.1785,0.067,0.148,0.1445,0.2055,0.071,0.016
